Scenario,Instance_ID,LP_Relax_Obj (Q4),Proposed_Heuristic_Obj (Q5),Naive_Obj (Q4),LP_Relax_Time,Proposed_Heuristic_Time,Naive_Time,Proposed_Heuristic_Gap (Q5),Naive_Gap (Q4)
"('Large', 'Medium', 'Medium')",12,13044808929.074106,13044883615.253561,13142795019.153957,2.923983335494995,0.05587148666381836,0.015554428100585938,0.0005725356336062834,0.7511500598637438
"('Large', 'Medium', 'Medium')",13,13162938281.106232,13163012722.939367,13265251715.501053,2.7022342681884766,0.054663658142089844,0.015496969223022461,0.0005655411546102658,0.7772841611031439
"('Large', 'Medium', 'Medium')",14,13368031514.729542,13368102695.684628,13471571812.799757,2.830552101135254,0.056224822998046875,0.015642881393432617,0.0005324714787463195,0.7745366096431591
"('Large', 'Medium', 'Medium')",15,13426763226.501972,13426830766.46213,13525313521.886126,2.8171117305755615,0.061054229736328125,0.016725778579711914,0.0005030248840918182,0.733984011795435
"('Large', 'Medium', 'Medium')",16,13836431148.64902,13836505161.286568,13935155128.395735,2.9178647994995117,0.056668758392333984,0.01544809341430664,0.0005349113275909533,0.7135075416926054
"('Large', 'Medium', 'Medium')",17,13088714334.416405,13088784225.714666,13185694072.210962,2.835773468017578,0.05958271026611328,0.015983104705810547,0.0005339813863754766,0.7409416640681972
"('Large', 'Medium', 'Medium')",18,12859718037.43602,12859784589.856232,12959544793.049429,2.8703818321228027,0.06454682350158691,0.016791582107543945,0.0005175262787103943,0.7762748399521875
"('Large', 'Medium', 'Medium')",19,13453985478.041931,13454046734.714262,13553703359.094381,3.0152738094329834,0.054461002349853516,0.015712976455688477,0.00045530502787320914,0.7411772609328172
"('Large', 'Medium', 'Medium')",20,13570873517.23319,13570953751.890093,13668789819.87712,3.039273738861084,0.05487871170043945,0.015453100204467773,0.0005912269154997722,0.7215180549696226
"('Large', 'Medium', 'Medium')",21,13498769953.297974,13498840202.186047,13597904417.796114,2.817356586456299,0.05410599708557129,0.014342546463012695,0.0005204095507665464,0.7343962808546133
"('Large', 'Medium', 'Medium')",22,13355543412.250769,13355620491.26044,13454395332.523422,2.7629036903381348,0.06263422966003418,0.017121315002441406,0.000577131212807574,0.7401564820041595
"('Large', 'Medium', 'Medium')",23,13152836547.457262,13152916866.411598,13250208274.15359,2.9772450923919678,0.062027931213378906,0.01760101318359375,0.0006106588038737077,0.7403097145242891
"('Large', 'Medium', 'Medium')",24,13103203367.330206,13103274494.588509,13200045433.935835,3.288755416870117,0.058330535888671875,0.016937971115112305,0.0005428234326273826,0.7390716902637883
"('Large', 'Medium', 'Medium')",25,13259568461.584387,13259654720.98321,13356311078.205072,2.9204788208007812,0.06169414520263672,0.016817092895507812,0.0006505445412699146,0.7296060720299323
"('Large', 'Medium', 'Medium')",26,12822385671.499681,12822463875.053133,12921693823.76436,2.9402263164520264,0.05581021308898926,0.016101837158203125,0.0006098986214816571,0.7744904482588697
"('Large', 'Medium', 'Medium')",27,14047541461.257696,14047621797.97522,14142831678.298197,2.7050974369049072,0.05518770217895508,0.014441728591918945,0.0005718916562384872,0.678340884796856
"('Large', 'Medium', 'Medium')",28,13611598234.838984,13611664167.808155,13709277678.44392,2.7729923725128174,0.05505704879760742,0.015182256698608398,0.00048438815217722296,0.7176192091456635
"('Large', 'Medium', 'Medium')",29,13264672397.929873,13264750211.236332,13363922504.881763,2.959407091140747,0.05394148826599121,0.015610218048095703,0.0005866206425992901,0.7482288591415212
"('Large', 'Medium', 'Medium')",30,13046322670.059435,13046401783.38976,13148985757.810055,2.856044292449951,0.061029911041259766,0.016706466674804688,0.0006064032932876445,0.7869120697606676
"('Medium', 'Low', 'Medium')",1,882872399.7478844,882887820.40823,891295556.5550244,0.20605802536010742,0.005068778991699219,0.0010385513305664062,0.0017466465539026843,0.9540627625855485
"('Medium', 'Low', 'Medium')",2,960713858.0459279,960731231.9433962,969097754.8139073,0.19986486434936523,0.0041506290435791016,0.00203704833984375,0.001808436229250052,0.872673658005939
"('Medium', 'Low', 'Medium')",3,969594560.5092005,969611211.5674481,977586592.4294149,0.19646358489990234,0.004370212554931641,0.0021970272064208984,0.0017173217472404982,0.8242653420020479
"('Medium', 'Low', 'Medium')",4,832856748.9324297,832871580.4959563,840591676.5081567,0.19019222259521484,0.004093170166015625,0.002048492431640625,0.0017808060684675678,0.928722446644246
"('Medium', 'Low', 'Medium')",5,942587292.3411685,942602269.3905442,950508400.6258463,0.19185733795166016,0.005365610122680664,0.0022246837615966797,0.0015889296935516438,0.8403580601011016
"('Medium', 'Low', 'Medium')",6,1035432034.8274938,1035448448.1619902,1043366428.7657,0.2230522632598877,0.0038747787475585938,0.0020525455474853516,0.0015851677313724808,0.7662882421373114
"('Medium', 'Low', 'Medium')",7,940122255.5754874,940137273.0955658,948426516.1936153,0.1887683868408203,0.004292726516723633,0.0011186599731445312,0.001597400762438902,0.8833170972050399
"('Medium', 'Low', 'Medium')",8,900840426.1630491,900854927.022207,909123697.1662141,0.1814115047454834,0.004374980926513672,0.0010917186737060547,0.0016097034210246772,0.9195048049126696
"('Medium', 'Low', 'Medium')",9,917872053.6880572,917885099.4854056,925907561.7838411,0.1765279769897461,0.0033147335052490234,0.00217437744140625,0.0014213089172898776,0.875449695139629
"('Medium', 'Low', 'Medium')",10,868045752.4149841,868062773.0250429,876110042.8006761,0.17766785621643066,0.0032515525817871094,0.002191781997680664,0.0019607964224733045,0.929016744020277
"('Medium', 'Low', 'Medium')",11,890284473.4463124,890298883.9781957,898193450.0356917,0.19661688804626465,0.0053064823150634766,0.00109100341796875,0.0016186435137362596,0.8883651041069461
"('Medium', 'Low', 'Medium')",12,974073494.8699461,974087401.1579305,982280140.5971389,0.1868419647216797,0.004266977310180664,0.001024484634399414,0.0014276425811409529,0.842507856995788
"('Medium', 'Low', 'Medium')",13,999014822.9537374,999030098.6891084,1007025577.8175379,0.1776125431060791,0.004425048828125,0.0010974407196044922,0.001529079951569548,0.8018654658311801
